╔════════════════════════════════════════════════╗
║      Optimal Solver - Starting from Scratch    ║
╚════════════════════════════════════════════════╝

Map: starting_simple.txt
Initial Temperature: 100000.0
Cooling Rate: 0.999995
Max Iterations: 100000000
Budget: $200

Grid: 7x5
Found 17 valid command locations:
  [1,0] building (2 floors)
  [2,0] building (2 floors)
  [3,0] building (2 floors)
  [5,0] P (1 floor)
  [2,1] building (2 floors)
  [3,1] P (1 floor)
  [5,1] building (2 floors)
  [1,2] building (2 floors)
  [3,2] building (2 floors)
  [5,2] building (2 floors)
  [2,3] building (2 floors)
  [3,3] building (2 floors)
  [5,3] P (1 floor)
  [1,4] building (2 floors)
  [3,4] building (2 floors)
  [4,4] building (2 floors)
  [5,4] building (2 floors)

Starting from EMPTY grid: Score=7062
Beginning optimization...

Iter      | Temp     | Current    | Best       | Accept | Cost  | Commands
─────────────────────────────────────────────────────────────────────────────────────
       13 |  99994.0 |       8062 |       8062 |     13 | $ 40 |        2  ✨ NEW BEST! (0s)
       30 |  99985.5 |      10250 |      10250 |     30 | $ 50 |        3  ✨ NEW BEST! (0s)
       57 |  99972.0 |      14125 |      14125 |     57 | $160 |        9  ✨ NEW BEST! (0s)
      317 |  99842.1 |      15125 |      15125 |    316 | $170 |       11  ✨ NEW BEST! (0s)
      322 |  99839.6 |      16125 |      16125 |    321 | $170 |       11  ✨ NEW BEST! (0s)
     2030 |  98990.6 |      19750 |      19750 |   2022 | $130 |        5  ✨ NEW BEST! (0s)
     4411 |  97819.1 |      22750 |      22750 |   4393 | $180 |       13  ✨ NEW BEST! (0s)
     5000 |  97531.5 |       9781 |      22750 |   4982 | $190 |       11  (0s)
    10000 |  95123.4 |       5062 |      22750 |   9964 | $ 20 |        2  (0s)
    11217 |  94546.3 |      26312 |      26312 |  11173 | $110 |        8  ✨ NEW BEST! (0s)
    15000 |  92774.8 |       5062 |      26312 |  14942 | $ 10 |        1  (0s)
    15289 |  92640.8 |      32500 |      32500 |  15228 | $150 |        9  ✨ NEW BEST! (0s)
    15292 |  92639.4 |      34500 |      34500 |  15231 | $180 |       10  ✨ NEW BEST! (0s)
    20000 |  90484.2 |       6437 |      34500 |  19917 | $180 |        8  (0s)
    25000 |  88250.1 |       9062 |      34500 |  24904 | $ 80 |        4  (0s)
    30000 |  86071.2 |       8062 |      34500 |  29885 | $130 |        9  (0s)
    35000 |  83946.1 |       8062 |      34500 |  34866 | $ 30 |        1  (0s)
    40000 |  81873.4 |       7062 |      34500 |  39844 | $ 50 |        3  (0s)
    45000 |  79852.0 |       2562 |      34500 |  44811 | $ 60 |        4  (0s)
    50000 |  77880.4 |      10875 |      34500 |  49792 | $120 |        7  (0s)
    55000 |  75957.5 |       7062 |      34500 |  54771 | $ 10 |        1  (0s)
    60000 |  74082.1 |       5500 |      34500 |  59749 | $ 50 |        4  (0s)
    65000 |  72253.0 |      11312 |      34500 |  64730 | $140 |        5  (0s)
