╔════════════════════════════════════════════════╗
║      Optimal Solver - Starting from Scratch    ║
╚════════════════════════════════════════════════╝

Map: starting_simple.txt
Initial Temperature: 100000.0
Cooling Rate: 0.99999
Max Iterations: 20000000
Budget: $200

Grid: 7x5
Found 17 valid command locations:
  [1,0] building (2 floors)
  [2,0] building (2 floors)
  [3,0] building (2 floors)
  [5,0] P (1 floor)
  [2,1] building (2 floors)
  [3,1] P (1 floor)
  [5,1] building (2 floors)
  [1,2] building (2 floors)
  [3,2] building (2 floors)
  [5,2] building (2 floors)
  [2,3] building (2 floors)
  [3,3] building (2 floors)
  [5,3] P (1 floor)
  [1,4] building (2 floors)
  [3,4] building (2 floors)
  [4,4] building (2 floors)
  [5,4] building (2 floors)

Starting from EMPTY grid: Score=7062
Beginning optimization...

Iter      | Temp     | Current    | Best       | Accept | Cost  | Commands
─────────────────────────────────────────────────────────────────────────────────────
        5 |  99996.0 |       9000 |       9000 |      5 | $ 50 |        3  ✨ NEW BEST! (0s)
        6 |  99995.0 |      10250 |      10250 |      6 | $ 60 |        4  ✨ NEW BEST! (0s)
       85 |  99916.0 |      11562 |      11562 |     85 | $ 60 |        4  ✨ NEW BEST! (0s)
      174 |  99827.1 |      12062 |      12062 |    173 | $110 |        7  ✨ NEW BEST! (0s)
      820 |  99184.3 |      12562 |      12562 |    816 | $120 |        5  ✨ NEW BEST! (0s)
      840 |  99164.5 |      12750 |      12750 |    835 | $180 |        9  ✨ NEW BEST! (0s)
      991 |  99014.9 |      13062 |      13062 |    986 | $110 |        6  ✨ NEW BEST! (0s)
     1148 |  98859.5 |      17000 |      17000 |   1143 | $120 |        7  ✨ NEW BEST! (0s)
     2440 |  97590.5 |      18000 |      18000 |   2432 | $190 |       11  ✨ NEW BEST! (0s)
     5000 |  95123.9 |       8312 |      18000 |   4980 | $ 80 |        5  (0s)
     5111 |  95018.3 |      19500 |      19500 |   5091 | $160 |        9  ✨ NEW BEST! (0s)
     5113 |  95016.4 |      19875 |      19875 |   5093 | $190 |       11  ✨ NEW BEST! (0s)
     6668 |  93550.4 |      21750 |      21750 |   6641 | $100 |        8  ✨ NEW BEST! (0s)
     6670 |  93548.5 |      23750 |      23750 |   6643 | $130 |        9  ✨ NEW BEST! (0s)
    10000 |  90484.6 |       7062 |      23750 |   9964 | $ 20 |        2  (0s)
    15000 |  86071.6 |       7062 |      23750 |  14948 | $ 60 |        3  (0s)
    20000 |  81873.8 |       8062 |      23750 |  19917 | $120 |        6  (0s)
    25000 |  77880.8 |       7062 |      23750 |  24896 | $ 30 |        3  (0s)
    30000 |  74082.5 |       7062 |      23750 |  29872 | $100 |        7  (0s)
    35000 |  70469.4 |       7625 |      23750 |  34855 | $ 50 |        4  (0s)
    40000 |  67032.5 |      10000 |      23750 |  39833 | $ 80 |        6  (0s)
    45000 |  63763.3 |       7062 |      23750 |  44806 | $ 70 |        4  (0s)
    49294 |  61083.3 |      29687 |      29687 |  49076 | $150 |        9  ✨ NEW BEST! (0s)
    49295 |  61082.6 |      33687 |      33687 |  49077 | $180 |       10  ✨ NEW BEST! (0s)
    50000 |  60653.5 |       9062 |      33687 |  49776 | $ 70 |        3  (0s)
    55000 |  57695.4 |       5562 |      33687 |  54745 | $ 80 |        4  (0s)
    60000 |  54881.5 |       4250 |      33687 |  59705 | $ 80 |        5  (0s)
    65000 |  52204.9 |       7062 |      33687 |  64674 | $ 40 |        3  (0s)
    70000 |  49658.9 |       7312 |      33687 |  69648 | $ 30 |        2  (0s)
    75000 |  47237.0 |       9062 |      33687 |  74612 | $ 50 |        3  (0s)
    80000 |  44933.2 |       7562 |      33687 |  79579 | $ 50 |        2  (0s)
    85000 |  42741.7 |       4312 |      33687 |  84540 | $120 |        8  (0s)
    90000 |  40657.2 |      10312 |      33687 |  89497 | $ 80 |        6  (0s)
    95000 |  38674.3 |       9562 |      33687 |  94458 | $ 50 |        4  (0s)
   100000 |  36788.1 |       9062 |      33687 |  99412 | $120 |        5  (0s)
   105000 |  34993.9 |       4000 |      33687 | 104375 | $ 10 |        1  (0s)
   110000 |  33287.3 |       7062 |      33687 | 109327 | $  0 |        0  (0s)
   115000 |  31663.8 |      10312 |      33687 | 114291 | $ 70 |        3  (0s)
   120000 |  30119.5 |       7062 |      33687 | 119241 | $ 30 |        1  (1s)
   125000 |  28650.6 |       7687 |      33687 | 124177 | $ 80 |        6  (1s)
   130000 |  27253.3 |       6562 |      33687 | 129116 | $170 |        7  (1s)
   135000 |  25924.1 |      11750 |      33687 | 134058 | $ 90 |        4  (1s)
   140000 |  24659.8 |       6875 |      33687 | 138977 | $140 |        8  (1s)
