╔════════════════════════════════════════════════╗
║      Optimal Solver - Starting from Scratch    ║
╚════════════════════════════════════════════════╝

Map: starting_simple.txt
Initial Temperature: 100000.0
Cooling Rate: 0.999995
Max Iterations: 100000000
Budget: $200

Grid: 7x5
Found 17 valid command locations:
  [1,0] building (2 floors)
  [2,0] building (2 floors)
  [3,0] building (2 floors)
  [5,0] P (1 floor)
  [2,1] building (2 floors)
  [3,1] P (1 floor)
  [5,1] building (2 floors)
  [1,2] building (2 floors)
  [3,2] building (2 floors)
  [5,2] building (2 floors)
  [2,3] building (2 floors)
  [3,3] building (2 floors)
  [5,3] P (1 floor)
  [1,4] building (2 floors)
  [3,4] building (2 floors)
  [4,4] building (2 floors)
  [5,4] building (2 floors)

Starting from EMPTY grid: Score=7062
Beginning optimization...

Iter      | Temp     | Current    | Best       | Accept | Cost  | Commands
─────────────────────────────────────────────────────────────────────────────────────
        7 |  99997.0 |       8062 |       8062 |      7 | $ 40 |        2  ✨ NEW BEST! (0s)
        9 |  99996.0 |      10062 |      10062 |      9 | $ 70 |        3  ✨ NEW BEST! (0s)
       15 |  99993.0 |      10562 |      10562 |     15 | $ 40 |        2  ✨ NEW BEST! (0s)
       27 |  99987.0 |      11062 |      11062 |     27 | $ 60 |        4  ✨ NEW BEST! (0s)
       29 |  99986.0 |      11312 |      11312 |     29 | $ 90 |        5  ✨ NEW BEST! (0s)
       30 |  99985.5 |      12812 |      12812 |     30 | $ 90 |        5  ✨ NEW BEST! (0s)
       31 |  99985.0 |      13312 |      13312 |     31 | $100 |        6  ✨ NEW BEST! (0s)
       45 |  99978.0 |      13750 |      13750 |     45 | $130 |        6  ✨ NEW BEST! (0s)
      291 |  99855.1 |      15562 |      15562 |    289 | $150 |        8  ✨ NEW BEST! (0s)
      293 |  99854.1 |      18500 |      18500 |    291 | $170 |        9  ✨ NEW BEST! (0s)
     1418 |  99294.0 |      19750 |      19750 |   1411 | $180 |       10  ✨ NEW BEST! (0s)
     4084 |  97979.2 |      26500 |      26500 |   4067 | $150 |        8  ✨ NEW BEST! (0s)
     4086 |  97978.2 |      27500 |      27500 |   4069 | $170 |        8  ✨ NEW BEST! (0s)
     5000 |  97531.5 |       7062 |      27500 |   4979 | $ 40 |        3  (0s)
    10000 |  95123.4 |       9312 |      27500 |   9960 | $ 60 |        2  (0s)
    15000 |  92774.8 |       7062 |      27500 |  14940 | $ 40 |        2  (0s)
    20000 |  90484.2 |       5250 |      27500 |  19924 | $ 90 |        6  (0s)
    25000 |  88250.1 |       5062 |      27500 |  24895 | $ 30 |        2  (0s)
    30000 |  86071.2 |       7562 |      27500 |  29874 | $ 50 |        3  (0s)
    35000 |  83946.1 |       7062 |      27500 |  34854 | $ 60 |        3  (0s)
    40000 |  81873.4 |       7062 |      27500 |  39838 | $ 10 |        1  (0s)
    45000 |  79852.0 |       9875 |      27500 |  44820 | $170 |        6  (0s)
    50000 |  77880.4 |       7187 |      27500 |  49800 | $ 40 |        4  (0s)
    55000 |  75957.5 |       7406 |      27500 |  54772 | $ 40 |        2  (0s)
    60000 |  74082.1 |       8250 |      27500 |  59745 | $120 |        8  (0s)
    65000 |  72253.0 |       4562 |      27500 |  64725 | $ 50 |        5  (0s)
    70000 |  70469.1 |       7750 |      27500 |  69699 | $ 80 |        5  (0s)
    75000 |  68729.2 |       9562 |      27500 |  74680 | $ 50 |        3  (0s)
    80000 |  67032.3 |       7062 |      27500 |  79655 | $  0 |        0  (0s)
    85000 |  65377.2 |       7062 |      27500 |  84636 | $  0 |        0  (0s)
    90000 |  63763.1 |       2500 |      27500 |  89604 | $ 20 |        2  (0s)
    95000 |  62188.7 |       7062 |      27500 |  94569 | $ 30 |        1  (0s)
   100000 |  60653.3 |       7562 |      27500 |  99532 | $ 60 |        4  (0s)
   105000 |  59155.8 |       9062 |      27500 | 104507 | $ 80 |        4  (0s)
   110000 |  57695.2 |      12000 |      27500 | 109478 | $120 |        7  (0s)
   115000 |  56270.7 |       7562 |      27500 | 114448 | $ 50 |        3  (0s)
   117777 |  55494.8 |      33250 |      33250 | 117214 | $190 |       12  ✨ NEW BEST! (0s)
   120000 |  54881.4 |       6062 |      33250 | 119418 | $ 50 |        3  (0s)
   125000 |  53526.3 |       5312 |      33250 | 124383 | $170 |       11  (0s)
